timestamp,elapsed_s,shoulder_pan_deg,shoulder_pan_rad,shoulder_lift_deg,shoulder_lift_rad,elbow_flex_deg,elbow_flex_rad,wrist_flex_deg,wrist_flex_rad,wrist_roll_deg,wrist_roll_rad,gripper_deg,gripper_rad
2026-07-22 11:41:29.955,1018.434,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:29.987,1018.467,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.020,1018.501,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.054,1018.534,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.087,1018.567,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.120,1018.601,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.154,1018.634,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.184,1018.667,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.218,1018.701,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.251,1018.734,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.286,1018.768,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.318,1018.801,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.352,1018.834,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.385,1018.867,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.418,1018.901,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.453,1018.934,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.485,1018.967,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.518,1019.001,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.551,1019.034,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.585,1019.067,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.619,1019.101,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.652,1019.134,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.685,1019.167,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.718,1019.201,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.751,1019.234,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.786,1019.267,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.824,1019.301,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.853,1019.334,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.886,1019.367,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.920,1019.401,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.952,1019.434,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:30.988,1019.467,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.019,1019.501,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.055,1019.534,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.086,1019.569,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.118,1019.601,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.152,1019.634,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.185,1019.668,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.219,1019.701,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.252,1019.734,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.285,1019.767,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.318,1019.801,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.352,1019.834,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.386,1019.867,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.419,1019.901,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.452,1019.934,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.485,1019.967,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.518,1020.001,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.553,1020.034,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.586,1020.067,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.621,1020.101,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.656,1020.137,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.687,1020.168,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.718,1020.201,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.754,1020.234,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.785,1020.267,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.819,1020.301,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.852,1020.334,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.885,1020.368,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.918,1020.401,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.953,1020.434,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:31.984,1020.467,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.021,1020.500,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.052,1020.534,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.085,1020.568,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.119,1020.601,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.151,1020.634,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.184,1020.668,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.218,1020.701,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.253,1020.734,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.284,1020.767,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.322,1020.801,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
